Designator,Manufacturer,Manufacturer Part,Category,Value,Package,
,,,PCB,,,
,,,CNC Aluminum Shell,,,
,,,Gasket,,,
,,,Top Cover,,,
,Amphenol RF,172224,N-Type Connector,,,
,Amphenol RF,172224,N-Type Connector,,,
BGA,Qorvo,TQP3M9036,RF Amplifier,,DFN-8,
BOOT,C&K,PTS526SKG15SMTR2LFS,Tactile Switch,,,
C01,Yageo,CQ0402JRNPO9BN101,MLCC,100 pF,402,
C02,Kyocera AVX,04025U4R7BAT2A,MLCC,4.7 pF,402,
C03,Yageo,CQ0402JRNPO9BN101,MLCC,100 pF,402,
C04,Kyocera AVX,04025U4R7BAT2A,MLCC,4.7 pF,402,
C05,Yageo,CQ0402JRNPO9BN101,MLCC,100 pF,402,
C06,Yageo,CQ0402JRNPO9BN101,MLCC,100 pF,402,
C07,Samsung,CL31A107MPKNNWE,MLCC,100 μF,1206,
C08,Samsung,CL10C101JB8NNNC,MLCC,100 pF,603,
C09,Samsung,CL10B104KB8NNNC,MLCC,100 nF,603,
C10,Kyocera AVX,TCJA226M016R0300E,Tantalum Polymer Cap,22 μF,1206,
C11,Samsung,CL31A107MPKNNWE,MLCC,100 μF,1206,
C12,Samsung,CL31A107MPKNNWE,MLCC,100 μF,1206,
C13,Murata,GRM188Z71E225KE43D,MLCC,2.2 μF,603,
C14,Kyocera AVX,TCJA226M016R0300E,Tantalum Polymer Cap,22 μF,1206,
C15,Samsung,CL31A107MPKNNWE,MLCC,100 μF,1206,
C16,Murata,GRM188Z71E225KE43D,MLCC,2.2 μF,603,
C17,Samsung,CL10B104KB8NNNC,MLCC,100 nF,603,
C18,Samsung,CL10C101JB8NNNC,MLCC,100 pF,603,
C19,Samsung,CL10B104KB8NNNC,MLCC,100 nF,603,
C20,Samsung,CL10C101JB8NNNC,MLCC,100 pF,603,
C21,Samsung,CL10B105KA8NNNL,MLCC,1 μF,603,
C22,Samsung,CL10C101JB8NNNC,MLCC,100 pF,603,
C23,Samsung,CL10B104KB8NNNC,MLCC,100 nF,603,
C24,Samsung,CL10C101JB8NNNC,MLCC,100 pF,603,
C25,Samsung,CL10B105KA8NNNL,MLCC,1 μF,603,
C26,Murata,GRM1885C2A150JA01D,MLCC,15 pF,603,
C27,Samsung,CL10B104KB8NNNC,MLCC,100 nF,603,
C28,Samsung,CL10B104KB8NNNC,MLCC,100 nF,603,
C29,Murata,GRM1885C2A150JA01D,MLCC,15 pF,603,
C30,Samsung,CL10B104KB8NNNC,MLCC,100 nF,603,
C31,Samsung,CL10B104KB8NNNC,MLCC,100 nF,603,
C32,Samsung,CL10B104KB8NNNC,MLCC,100 nF,603,
C33,Samsung,CL10B104KB8NNNC,MLCC,100 nF,603,
C34,Samsung,CL10B104KB8NNNC,MLCC,100 nF,603,
C35,Samsung,CL10B104KB8NNNC,MLCC,100 nF,603,
C36,Samsung,CL10B105KA8NNNL,MLCC,1 μF,603,
C37,Samsung,CL10B104KB8NNNC,MLCC,100 nF,603,
C38,Samsung,CL10B104KB8NNNC,MLCC,100 nF,603,
C39,Samsung,CL10B104KB8NNNC,MLCC,100 nF,603,
D1,Nexperia,PMEG2005EPK316,Schottky Diode,,SOD1608,
D2,Nexperia,PMEG2005EPK316,Schottky Diode,,SOD1608,
D3,Diotec Semiconductor,P4SMAJ12CA,TVS Diode,,DO-214AC,
DC,Anaren,DC0710J5010AHF,Directional Coupler,,805,
DET,Analog Devices,LTC5536ES6#TRMPBF,RF Detector,,TSOT-23-6,
L1,Murata,LQG18HN12NJ00D,Inductor,12 nH,603,
L2,Murata,LQG18HN12NJ00D,Inductor,12 nH,603,
L3,Murata,LQW15CAR14J00D,Inductor,140 nH,402,
LDO3V3,Texas Instruments,TPS7A4700RGWR,LDO Regulator,,VQFN-20,
LDO5V,Texas Instruments,TPS7A4700RGWR,LDO Regulator,,VQFN-20,
LED,Osram,KW EELP41.RU-S1U1-3K6L-3X4X-5-R18,LED ,,603,
LED,Osram,KW EELP41.RU-S1U1-3K6L-3X4X-5-R18,LED ,,603,
LED,Osram,KW EELP41.RU-S1U1-3K6L-3X4X-5-R18,LED ,,603,
LED,Osram,KW EELP41.RU-S1U1-3K6L-3X4X-5-R18,LED ,,603,
LED,Osram,KW EELP41.RU-S1U1-3K6L-3X4X-5-R18,LED ,,603,
LED,Osram,KW EELP41.RU-S1U1-3K6L-3X4X-5-R18,LED ,,603,
LED,Osram,KW EELP41.RU-S1U1-3K6L-3X4X-5-R18,LED ,,603,
LED,Osram,KW EELP41.RU-S1U1-3K6L-3X4X-5-R18,LED ,,603,
LED,Osram,KW EELP41.RU-S1U1-3K6L-3X4X-5-R18,LED ,,603,
LED,Osram,KW EELP41.RU-S1U1-3K6L-3X4X-5-R18,LED ,,603,
LED,Osram,KW EELP41.RU-S1U1-3K6L-3X4X-5-R18,LED ,,603,
LED,Osram,KW EELP41.RU-S1U1-3K6L-3X4X-5-R18,LED ,,603,
LED,Osram,KW EELP41.RU-S1U1-3K6L-3X4X-5-R18,LED ,,603,
LED,Osram,KW EELP41.RU-S1U1-3K6L-3X4X-5-R18,LED ,,603,
LED,Osram,KW EELP41.RU-S1U1-3K6L-3X4X-5-R18,LED ,,603,
LED,Osram,KW EELP41.RU-S1U1-3K6L-3X4X-5-R18,LED ,,603,
LED,Osram,KW EELP41.RU-S1U1-3K6L-3X4X-5-R18,LED ,,603,
LNA,Qorvo,TQP3M9036,RF Amplifier,,DFN-8,
MCU,Raspberry Pi,SC0914(13),Microcontroller,,QFN-56,
Q1,Abracon,ABM8-272-T3,Crystal Oscillator,,3.2 mm x 2.5 mm,
R01,Yageo,RT0603DRD0749R9L,Resistor,49.9 Ω,603,
R02,Yageo,RT0603DRD0749R9L,Resistor,49.9 Ω,603,
R03,KOA Speer,RK73H1ETTP49R9F,Resistor,49.9 Ω,402,
R04,Bourns,CR0603-FX-91R0ELF,Resistor,91 Ω,603,
R05,Bourns,CR0603-FX-5102ELF,Resistor,51 kΩ,603,
R06,Bourns,CR0603-FX-1002ELF,Resistor,10 kΩ,603,
R07,Bourns,CR0603-FX-1002ELF,Resistor,10 kΩ,603,
R08,Bourns,CR0603-FX-5102ELF,Resistor,51 kΩ,603,
R09,Bourns,CR0402-FX-3302GLF,Resistor,33 kΩ,402,
R10,Bourns,CR0402-FX-1002GLF,Resistor,10 kΩ,402,
R11,Bourns,CR0402-FX-3302GLF,Resistor,33 kΩ,402,
R12,Bourns,CR0402-FX-1002GLF,Resistor,10 kΩ,402,
R13,Bourns,CR0603-FX-1001ELF,Resistor,1 kΩ,603,
R14,Bourns,CR0603-FX-1002ELF,Resistor,10 kΩ,603,
R15,Bourns,CR0603-FX-3300ELF,Resistor,330 Ω,603,
R16,Bourns,CR0603-FX-3300ELF,Resistor,330 Ω,603,
